signal,target,mrate5,mrate10,mrate_avg,mrate_diff,red_v_rate3,red_v_rate5,red_v_rate10,rate_diff_5_10,rate_diff_3_10,rate_sum_5_10,rate_sum_3_10,ma10_20,ma5_10,ma5_20,ma_desc,ma_score
1.0,2,0.6,0.5,0.55,0.1,35.5278,64.1221,47.4648,16.6573,-11.9369,45.514,25.328,-1.7221,-0.1326,-1.8524,-0.927,0.0
1.0,2,0.4,0.6,0.5,-0.2,72.118,42.4064,62.1313,-19.7249,9.9867,54.1145,31.8201,-0.1199,-0.0223,-0.1422,-0.0711,2.0
1.0,2,0.4,0.4,0.4,0.0,68.6778,40.0582,38.9646,1.0936,29.7132,54.7253,31.92,0.1701,-0.2931,-0.1234,-0.0616,0.5
1.0,2,0.4,0.4,0.4,0.0,24.652,28.1371,39.8379,-11.7008,-15.1859,36.7696,20.2479,-1.0646,-1.6266,-2.6738,-1.3427,0.0
1.0,2,0.4,0.3,0.35,0.1,29.4314,33.0556,21.3982,11.6575,8.0333,40.6999,20.5477,-1.7542,-0.9891,-2.726,-1.3688,0.0
1.0,2,0.6,0.5,0.55,0.1,35.1506,60.0385,55.0506,4.9879,-19.9,46.086,28.3991,0.4866,-0.3467,0.1382,0.0697,3.0
1.0,1,0.6,0.6,0.6,0.0,71.2125,66.3958,63.2046,3.1912,8.0079,49.8019,35.3107,-0.2634,-0.1689,-0.4318,-0.2161,3.0
1.0,2,0.4,0.3,0.35,0.1,32.9485,47.7617,32.2185,15.5432,0.73,53.2013,30.1744,-1.4146,-0.4584,-1.8664,-0.9354,1.0
1.0,2,0.6,0.4,0.5,0.2,48.828,53.2899,34.8085,18.4813,14.0194,51.1893,32.9196,-0.5608,-0.7718,-1.3282,-0.6656,0.0
1.0,2,0.6,0.5,0.55,0.1,64.037,48.8506,45.056,3.7946,18.981,51.8318,24.374,-0.7482,-0.819,-1.5611,-0.7826,0.5
1.0,3,0.2,0.3,0.25,-0.1,23.0254,13.5941,23.9378,-10.3437,-0.9124,57.747,34.0936,-1.1015,-1.5857,-2.6697,-1.3407,0.0
1.0,2,0.4,0.6,0.5,-0.2,43.9791,48.4233,66.6671,-18.2438,-22.6879,42.9431,24.6813,0.6587,-0.1875,0.47,0.2354,4.5
1.0,3,0.6,0.5,0.55,0.1,100.0,46.785,44.4591,2.3259,55.5409,56.4459,26.4082,-0.9812,-3.2403,-4.1897,-2.1055,0.5
1.0,1,0.2,0.3,0.25,-0.1,36.4596,21.3427,30.2195,-8.8768,6.2401,52.7067,30.8535,-0.2109,-0.8806,-1.0896,-0.5454,1.5
1.0,3,0.2,0.4,0.3,-0.2,35.4121,19.9116,40.1023,-20.1906,-4.6902,49.8634,28.0374,-1.3758,-1.1714,-2.5311,-1.2709,0.5
1.0,2,0.4,0.5,0.45,-0.1,31.3057,43.2937,54.8725,-11.5789,-23.5668,41.4107,20.1567,-2.3839,-0.927,-3.2888,-1.6518,0.5
1.0,1,0.4,0.4,0.4,0.0,43.106,47.1431,46.8754,0.2677,-3.7694,35.6596,20.9129,0.1221,-0.4692,-0.3477,-0.1737,2.5
1.0,1,0.0,0.2,0.1,-0.2,0.0,0.0,13.5669,-13.5669,-13.5669,55.5436,38.172,-2.5667,-3.2668,-5.7496,-2.9028,0.0
1.0,1,0.4,0.3,0.35,0.1,27.2839,33.9217,23.7671,10.1546,3.5168,38.5383,21.8184,-7.2384,-4.2612,-11.1912,-5.6984,0.0
1.0,2,0.6,0.5,0.55,0.1,65.7939,60.2268,49.3363,10.8905,16.4576,42.8802,27.3107,-7.5048,-1.4942,-8.8868,-4.4808,0.0
1.0,2,0.6,0.5,0.55,0.1,70.8895,60.2057,48.6658,11.5399,22.2238,48.986,31.3016,-6.9856,-2.4035,-9.2212,-4.6666,0.0
1.0,1,0.4,0.5,0.45,-0.1,64.6421,35.9081,55.9538,-20.0457,8.6884,33.5467,18.6348,1.0117,-1.8865,-0.8939,-0.4406,1.5
